epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.646,1.68982,2.31003,1.26246,0.30707,0.63245,0.49618,0.23231,1.65344,2.86047,1.23346,0.000545918,0.000545918,0.000545918
2,1148.59,1.58831,1.49102,1.21906,0.69025,0.51762,0.55388,0.29247,1.59285,1.8387,1.23545,0.00106523,0.00106523,0.00106523
3,1718.21,1.59583,1.39301,1.2204,0.68281,0.52341,0.54719,0.28389,1.6527,1.58469,1.30208,0.00154787,0.00154787,0.00154787
4,2287.41,1.57469,1.30737,1.22109,0.77894,0.53381,0.59768,0.29645,1.72167,1.6892,1.33868,0.00150197,0.00150197,0.00150197
5,2855.78,1.57109,1.2217,1.20648,0.82954,0.55455,0.66284,0.33491,1.72367,1.38163,1.32178,0.00144696,0.00144696,0.00144696
6,3424.61,1.539,1.13925,1.19823,0.73666,0.63087,0.69863,0.3328,1.67222,1.33423,1.30955,0.00139195,0.00139195,0.00139195
7,3995.64,1.50053,1.06503,1.17732,0.78438,0.6646,0.69526,0.37265,1.57496,1.13184,1.23643,0.00133693,0.00133693,0.00133693
8,4566.9,1.49122,1.05325,1.18829,0.75686,0.59106,0.62852,0.33885,1.57843,1.17962,1.25288,0.00128192,0.00128192,0.00128192
9,5133.93,1.47524,1.01343,1.18378,0.74902,0.66071,0.73696,0.39314,1.5262,1.06714,1.22761,0.00122691,0.00122691,0.00122691
10,5704.04,1.47165,0.95224,1.17376,0.75051,0.645,0.68166,0.33525,1.59868,1.17071,1.2681,0.0011719,0.0011719,0.0011719
11,6271.96,1.46488,0.93933,1.15582,0.82943,0.64051,0.72812,0.38465,1.57152,0.97725,1.24183,0.00111689,0.00111689,0.00111689
12,6836.69,1.42748,0.90248,1.15395,0.84778,0.67492,0.75564,0.42714,1.43794,0.95232,1.19309,0.00106188,0.00106188,0.00106188
13,7400.44,1.44299,0.91705,1.1511,0.87587,0.65662,0.75423,0.41908,1.48865,0.95794,1.20536,0.00100687,0.00100687,0.00100687
14,7958.46,1.43515,0.90049,1.14788,0.82396,0.67951,0.71994,0.40769,1.45556,1.00703,1.18476,0.000951857,0.000951857,0.000951857
15,8517.24,1.42497,0.87584,1.1417,0.82235,0.62891,0.71519,0.38972,1.53509,1.0167,1.2345,0.000896846,0.000896846,0.000896846
16,9071.12,1.39656,0.85402,1.13736,0.85286,0.68627,0.75796,0.41818,1.54368,0.95819,1.23523,0.000841835,0.000841835,0.000841835
17,9626.38,1.38291,0.83035,1.13193,0.86867,0.67595,0.7621,0.41036,1.50533,0.9251,1.21528,0.000786824,0.000786824,0.000786824
18,10277.5,1.39734,0.8346,1.14415,0.85674,0.70479,0.76442,0.43925,1.42914,0.88662,1.17314,0.000731813,0.000731813,0.000731813
19,10968.5,1.37508,0.80573,1.12914,0.81577,0.72622,0.77141,0.4327,1.44367,0.88089,1.17477,0.000676802,0.000676802,0.000676802
20,11658,1.38054,0.79188,1.12586,0.83511,0.68363,0.74566,0.43503,1.40188,0.8734,1.17342,0.000621791,0.000621791,0.000621791
21,12362.2,1.36096,0.70602,1.13107,0.89393,0.68293,0.77878,0.44117,1.45453,0.86112,1.19586,0.00056678,0.00056678,0.00056678
22,13047.7,1.35552,0.6988,1.13068,0.89148,0.67376,0.77299,0.43743,1.48817,0.87817,1.19405,0.000511769,0.000511769,0.000511769
23,13617.9,1.327,0.69571,1.11949,0.8549,0.7009,0.75741,0.4473,1.41874,0.86159,1.17871,0.000456758,0.000456758,0.000456758
24,14172.4,1.31022,0.68899,1.11695,0.85612,0.7007,0.78817,0.44489,1.45566,0.83992,1.18814,0.000401747,0.000401747,0.000401747
25,14725.4,1.2941,0.66164,1.10635,0.82658,0.73462,0.78673,0.45358,1.4369,0.79414,1.17536,0.000346736,0.000346736,0.000346736
26,15281.7,1.28793,0.6495,1.09712,0.89172,0.69439,0.78441,0.45612,1.42474,0.79004,1.16918,0.000291725,0.000291725,0.000291725
27,15835.8,1.26764,0.62474,1.09134,0.89178,0.69468,0.78007,0.44154,1.46813,0.78961,1.20032,0.000236714,0.000236714,0.000236714
28,16387.8,1.27108,0.63429,1.09622,0.849,0.73334,0.78599,0.44586,1.43467,0.768,1.17531,0.000181703,0.000181703,0.000181703
29,16943.6,1.25008,0.6207,1.08752,0.86369,0.71468,0.78955,0.46447,1.37871,0.76455,1.15499,0.000126692,0.000126692,0.000126692
30,17498.9,1.22295,0.59538,1.06892,0.87487,0.72084,0.78497,0.46262,1.38537,0.76235,1.15697,7.1681e-05,7.1681e-05,7.1681e-05
